ID,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
2472, 18 24 13.785197 ,  +39 30 26.05939 , -   21.90 , -    4.57 ,    7.3 ,  5.11  
2473, 18 24 18.240701 ,  -44  6 36.91938 , -    0.18 , -   22.25 ,    6.2 ,  5.24  
2474, 18 24 25.588630 ,  +32  7 50.98588 , -    8.38 , -    1.55 ,    3.4 ,  8.15  
2475, 18 25 15.193692 ,  -13 58 42.30446 , +    1.96 , -    4.09 ,     .8 ,  6.61  
2476, 18 25 59.138479 ,  +65 33 48.52966 , +  106.78 , -   27.08 ,   10.2 ,  4.82  
2477, 18 28  6.423531 ,  -84 23 14.11889 , +   12.95 , -    8.94 ,    5.4 ,  6.49  
2478, 18 29  1.962640 ,  +11 39  1.58013 , -   16.75 , -    6.89 ,    6.9 ,  7.50  
2479, 18 29 27.569493 ,  -47  5  8.52217 , +    7.49 , +   18.25 ,    4.8 ,  7.60  
2480, 18 29 59.430346 ,  +15 56 39.82864 , -    5.75 , +    0.19 ,    4.2 ,  7.17  
2481, 18 31 22.018029 ,  - 0 28 55.07151 , +    1.16 , -    3.19 ,    4.0 ,  7.07  
2482, 18 31 27.354516 ,  +22 59  9.55845 , +   20.81 , +   41.71 ,    7.5 ,  7.41  
2483, 18 32  1.891540 ,  -44 35 38.59981 , +   12.20 , -   10.31 ,    3.8 ,  8.19  
2484, 18 32 33.272144 ,  -35 20 58.58894 , -    1.68 , -   12.91 ,    4.4 ,  6.95  
2485, 18 32 34.522435 ,  +57  2 44.15101 , +    0.14 , -    7.70 ,    1.3 ,  4.77  
2486, 18 32 46.155095 ,  +23 37   .48498 , +   12.93 , +   10.31 ,    4.1 ,  5.88  
2487, 18 33   .916191 ,  -39 53 31.27613 , +   86.12 , -   80.04 ,   27.7 ,  6.22  
2488, 18 33 14.657027 ,  +18 54 55.98952 , +    0.26 , -   73.81 ,    6.9 ,  6.83  
2489, 18 33 57.766438 ,  -33  0 59.61627 , +    2.38 , -   11.30 ,    3.2 ,  5.28  
2490, 18 34 19.570945 ,  +20 27 59.07607 , +    7.06 , -    6.12 ,    7.1 ,  6.57  
2491, 18 34 23.913606 ,  +51  6 47.35580 , +    3.37 , +   13.23 ,     .3 ,  7.81  
2492, 18 34 35.340493 ,  + 3  8  8.80942 , +    7.96 , +    0.63 ,    4.0 ,  7.46  
2493, 18 34 53.657903 ,  -52 23 15.01722 , +   38.01 , -   63.33 ,    4.7 ,  6.83  
2494, 18 35  2.392747 ,  -10 58 37.94744 , +   49.17 , -    5.59 ,   11.2 ,  5.12  
2495, 18 35  9.339673 ,  -55 34 57.24214 , -    1.56 , -    1.05 ,    3.5 ,  7.62  
2496, 18 35 46.087762 ,  +27 12 41.54056 , +    0.24 , -    3.83 ,    3.9 ,  8.05  
2497, 18 35 59.645220 ,  -29 41 56.77575 , +    5.53 , -   10.22 ,    3.0 ,  6.36  
2498, 18 36 45.549043 ,  +43 13 18.53321 , +   21.47 , -   10.78 ,    7.9 ,  6.21  
2499, 18 37  9.432824 ,  + 0 57  4.10307 , +   12.75 , +   22.73 ,   17.0 ,  6.88  
2500, 18 37 12.840151 ,  -25 40 16.56463 , +  171.67 , -  281.85 ,   33.1 ,  7.43  
2501, 18 37 15.660473 ,  -40 48 13.11083 , -   15.83 , -   29.09 ,    2.6 ,  6.96  
2502, 18 37 31.742783 ,  +35 39 35.18732 , -    3.79 , -    6.16 ,    5.3 ,  8.76  
2503, 18 37 33.504118 ,  +62 31 35.72360 , -    5.61 , +   52.25 ,    7.6 ,  5.74  
2504, 18 37 51.108565 ,  - 6 47 48.49502 , +    5.28 , +    3.18 ,    1.1 ,  7.95  
2505, 18 37 51.567903 ,  -17 13 52.62432 , +    0.74 , -    1.45 ,    2.7 ,  6.78  
2506, 18 39 14.292677 ,  -47 54 35.16889 , +   24.90 , +   14.13 ,    9.9 ,  5.84  
2507, 18 39 36.877057 ,  + 5 15 51.43430 , +    2.14 , +    2.24 ,    1.3 ,  6.36  
2508, 18 40 59.697493 ,  +41 55  1.90383 , +    5.39 , +   12.32 ,    4.7 ,  7.72  
2509, 18 41   .423839 ,  -30 31 44.67047 , -   11.68 , -   35.31 ,    4.7 ,  7.70  
2510, 18 41 36.299606 ,  -17 59 16.00874 , -    0.45 , -    2.45 ,    2.4 ,  8.62  
2511, 18 41 41.311382 ,  +31 37  3.40499 , +    8.13 , +    6.47 ,    2.9 ,  6.41  
2512, 18 41 51.629801 ,  -23 50   .31866 , +   30.61 , -   27.67 ,   15.7 ,  6.22  
2513, 18 42 30.004907 ,  -70 18 11.39208 , -    0.92 , -   17.73 ,    5.1 ,  7.25  
2514, 18 42 50.005437 ,  +36 57 30.88861 , +    6.32 , +    0.63 ,     .7 ,  7.97  
2515, 18 44 35.356123 ,  +64 48 36.24588 , +   38.37 , +   75.67 ,    5.0 ,  7.28  
2516, 18 45 26.900906 ,  -64 52 16.53406 , +   32.55 , -  148.84 ,   34.2 ,  4.78  
2517, 18 45 48.006913 ,  -67 51  2.32330 , +    2.40 , -    7.67 ,    6.0 ,  8.60  
2518, 18 46  8.482925 ,  +40 16 47.31522 , +    8.72 , -   12.30 ,    2.2 ,  8.65  
2519, 18 46 13.008996 ,  +41 26 30.51979 , +    0.34 , +    0.14 ,    2.6 ,  6.06  
2520, 18 46 15.693448 ,  -72 48 48.82550 , -   53.72 , -   78.74 ,   15.0 ,  6.84  
2521, 18 46 41.644482 ,  +44 41  6.45442 , -    8.18 , -   27.67 ,    1.0 ,  9.46  
2522, 18 47 44.618838 ,  -40 24 22.20005 , +   25.18 , -   18.52 ,    8.3 ,  5.20  
2523, 18 47 55.444296 ,  -23 15 25.64184 , +    0.55 , +    3.67 ,    6.2 ,  9.10  
2524, 18 48  2.665368 ,  + 4 14 29.12000 , -    5.03 , +   14.35 ,    3.6 ,  6.20  
2525, 18 48 16.074245 ,  +48 46  3.20331 , -   18.98 , +   48.74 ,   17.8 ,  6.12  
2526, 18 48 39.533516 ,  +19 48 33.64761 , +    2.88 , -    9.03 ,     .8 ,  8.06  
2527, 18 49 27.344063 ,  -45 48 36.36184 , +   74.65 , +   57.17 ,    7.5 ,  5.80  
2528, 18 50 31.170265 ,  -13 34 20.14027 , -    4.81 , -    7.59 ,    1.9 ,  6.48  
2529, 18 51   .939613 ,  + 0 14 46.78635 , +    3.70 , -    0.53 ,    4.1 ,  8.85  
2530, 18 51  9.672710 ,  -83 33 46.92434 , -    2.32 , +    0.37 ,    5.4 ,  7.66  
2531, 18 51 22.157950 ,  - 3 19  4.28487 , +    1.28 , -   21.45 ,   11.8 ,  6.08  
2532, 18 51 23.922464 ,  -51 31 12.77644 , +    3.53 , -   26.48 ,    2.6 ,  7.42  
2533, 18 51 51.532966 ,  +54 54 20.27218 , +    5.18 , +    0.70 ,    2.3 ,  8.83  
2534, 18 51 52.406254 ,  +50 58  4.00740 , -    3.52 , +    3.49 ,    2.4 ,  9.23  
2535, 18 51 54.106750 ,  +31 23 38.74704 , -    1.02 , -    1.58 ,    3.0 ,  8.11  
2536, 18 51 58.045816 ,  -83 18 58.86990 , +    1.57 , -   17.95 ,    3.0 ,  7.17  
2537, 18 52 39.643492 ,  -52  6 26.53769 , +   39.31 , -   96.26 ,   11.1 ,  5.18  
2538, 18 52 41.687221 ,  -30 44  2.62197 , -    1.04 , -   17.56 ,    5.9 ,  6.64  
2539, 18 52 49.558475 ,  - 4 45 48.41694 , +    2.68 , -    5.46 ,    1.7 ,  9.20  
2540, 18 53 44.696980 ,  +60  1  4.34346 , +    1.84 , -    1.81 ,    1.3 ,  7.05  
2541, 18 53 53.877122 ,  +82 22 12.09686 , +   19.13 , +   21.81 ,    6.4 ,  6.89  
2542, 18 54  9.146653 ,  -47 15 47.44665 , +   21.34 , -   21.04 ,    4.2 ,  7.31  
2543, 18 54 21.928233 ,  +10 48 30.00277 , +   11.79 , +    8.57 ,    2.5 ,  6.54  
2544, 18 54 28.202333 ,  +20 21 35.65222 , +   13.21 , +    9.69 ,    3.2 ,  7.18  
2545, 18 55 45.701016 ,  -56 25 24.14804 , +    8.84 , -    0.42 ,    2.9 ,  6.77  
2546, 18 56   .021338 ,  -80 43 40.38628 , +    9.29 , -    8.37 ,    3.9 ,  6.57  
2547, 18 56  8.637974 ,  -29 28 35.94502 , -    0.73 , +    2.63 ,   10.0 ,  7.28  
2548, 18 56 22.659431 ,  - 1 47 59.50845 , -    3.64 , -   19.78 ,    6.2 ,  6.20  
2549, 18 56 25.717567 ,  +65 15 29.10045 , -   16.59 , -   29.00 ,   10.3 ,  5.62  
2550, 18 56 45.048520 ,  +57 48 53.44885 , -   28.22 , -   61.06 ,   11.4 ,  5.67  
2551, 18 56 45.755644 ,  -35 18   .87294 , +    6.67 , -    7.38 ,    2.0 ,  8.85  
2552, 18 56 57.029130 ,  -67 14   .58116 , -    7.64 , +   16.60 ,    6.0 ,  4.40  
2553, 18 57 17.910572 ,  -44 18  4.91331 , -    3.96 , -   18.80 ,    4.3 ,  7.54  
2554, 18 57 41.508279 ,  -85 33 55.19155 , -    4.16 , -   23.66 ,    2.1 ,  8.01  
2555, 18 57 55.049595 ,  +68 30 20.42943 , -    2.31 , -   10.87 ,    4.3 ,  8.37  
2556, 18 58 36.448198 ,  -60 12  1.97830 , -  124.82 , +   32.53 ,    6.3 ,  5.14  
2557, 18 58 37.014074 ,  -14 46  7.16423 , +    7.16 , -   29.71 ,    5.1 ,  8.65  
2558, 18 58 52.628113 ,  +69 31 52.64916 , +    5.12 , +   11.55 ,    5.1 ,  6.52  
2559, 18 59 18.369698 ,  - 1 22  3.38309 , +    0.92 , -    3.37 ,     .9 ,  8.47  
2560, 19  0 13.677216 ,  +50 32   .47826 , +    6.87 , +    3.02 ,    5.2 ,  5.39  
2561, 19  1 17.356787 ,  +26 17 29.08002 , -    0.58 , -    9.14 ,    4.6 ,  5.69  
2562, 19  1 24.551057 ,  + 7 16 46.04156 , -   19.68 , -    7.98 ,    8.3 ,  8.91  
2563, 19  2 52.621272 ,  +19 39 39.64401 , +    6.79 , -    0.84 ,    2.1 ,  6.11  
2564, 19  3  6.876897 ,  -42  5 42.37774 , +   56.35 , -   45.48 ,   17.7 ,  4.74  
2565, 19  3 12.230532 ,  -56 59 48.00314 , +    7.69 , -  155.58 ,   21.3 ,  7.07  
2566, 19  3 17.871103 ,  +25 49 34.01812 , -    0.67 , -    2.18 ,    2.0 ,  6.97  
2567, 19  4  1.666539 ,  +40  6 58.39258 , -   21.12 , -   25.20 ,    1.4 ,  7.66  
2568, 19  4  3.351154 ,  +30 10  3.78802 , -    4.04 , -    0.96 ,    4.3 ,  9.35  
2569, 19  4 33.025947 ,  +45 55 17.99461 , +   15.63 , +   15.30 ,    5.7 ,  7.16  
2570, 19  6 55.606536 ,  -48 17 56.91806 , +   12.80 , -   12.04 ,    9.3 ,  5.95  
2571, 19  8 24.464114 ,  +13  5 52.71308 , +    1.61 , -   10.28 ,    2.8 ,  7.26  
2572, 19  8 59.911771 ,  + 6  4 23.54802 , -    9.70 , -   77.91 ,   22.9 ,  5.23  
2573, 19  9  9.878680 ,  +76 33 37.80942 , +   51.88 , -  119.61 ,   36.6 ,  5.11  
2574, 19  9 17.521750 ,  +35 11  6.00428 , -    1.27 , -   13.18 ,    1.8 ,  8.72  
2575, 19  9 18.018277 ,  +32 52  8.08665 , -    7.59 , -   21.72 ,    3.1 ,  7.59  
2576, 19  9 30.837629 ,  -22 22 38.81242 , -    9.46 , -    0.24 ,    4.2 ,  8.61  
2577, 19  9 36.363275 ,  -36  9 53.30859 , -    7.67 , -   12.34 ,    3.5 ,  6.54  
2578, 19  9 45.807056 ,  +65 58 42.64673 , +    3.95 , +   28.59 ,   10.1 ,  6.26  
2579, 19 10  8.265594 ,  -71 32 54.70018 , -    1.57 , +    9.41 ,    8.0 ,  6.64  
2580, 19 11 11.941473 ,  -28 32  2.89525 , -    0.62 , -    8.25 ,    2.8 ,  8.56  
2581, 19 11 15.732064 ,  +86  4 45.16518 , +   40.36 , +    1.27 ,    4.6 ,  8.68  
2582, 19 11 21.936823 ,  -56 18 24.17962 , +    4.81 , +    0.34 ,    2.5 ,  7.40  
2583, 19 11 40.568094 ,  +56 51 33.16267 , +   44.17 , +   47.70 ,    9.5 ,  5.13  
2584, 19 11 46.008661 ,  +31 17   .44312 , -    3.52 , -    2.95 ,    3.3 ,  5.93  
2585, 19 12 54.330639 ,  -59 41 19.35726 , +   22.79 , +   38.12 ,    9.7 ,  8.64  
2586, 19 13  9.147400 ,  -77 51 50.61247 , +    6.19 , +   11.50 ,    2.3 ,  7.03  
2587, 19 13 13.668132 ,  -25 54 24.42791 , -    2.40 , -    8.91 ,    1.5 ,  5.79  
2588, 19 13 15.522760 ,  -12 16 57.29878 , +   11.55 , -   30.14 ,    5.7 ,  5.51  
2589, 19 13 47.725003 ,  - 1 50  6.58394 , -    2.80 , -    5.89 ,    1.8 ,  8.92  
2590, 19 14 21.511011 ,  -77  2 52.39090 , +    1.77 , +   15.07 ,    5.0 ,  7.53  
2591, 19 15 26.275526 ,  -19 47 13.12350 , +    6.00 , -   28.69 ,    5.6 ,  7.66  
2592, 19 16 13.503503 ,  -30 27 34.50086 , +   15.86 , -    6.49 ,    7.8 ,  7.25  
2593, 19 16 16.663475 ,  - 8 41 24.25853 , +   11.51 , -    1.31 ,    3.6 ,  7.24  
2594, 19 16 51.386224 ,  +46 59 56.76831 , -    9.95 , +  291.75 ,   23.5 ,  6.02  
2595, 19 17   .520323 ,  -65 13 39.73102 , -    4.07 , -   24.27 ,    4.6 ,  6.42  
2596, 19 17 25.834417 ,  -51 29 48.52288 , +    4.82 , -   13.84 ,    1.5 ,  7.96  
2597, 19 17 28.140585 ,  -14 30  4.96403 , +    1.00 , -    5.73 ,     .5 ,  8.69  
2598, 19 18 30.121663 ,  +50 13 39.42765 , -    4.98 , -    3.31 ,    1.2 ,  7.51  
2599, 19 18 58.113279 ,  +40 21 37.64806 , +    7.29 , +    7.63 ,    4.7 ,  6.88  
2600, 19 19 16.130242 ,  +23 18 14.78186 , +    1.12 , -    6.90 ,    2.0 ,  7.62  
2601, 19 20 19.488874 ,  + 4 46 40.40837 , -   22.47 , -  102.48 ,    6.7 ,  7.04  
2602, 19 20 25.750495 ,  +45 35 40.64271 , +    3.49 , +    3.63 ,    1.4 ,  8.65  
2603, 19 20 40.092374 ,  +65 42 52.31547 , +   14.39 , +   41.87 ,   14.5 ,  4.60  
2604, 19 20 47.316087 ,  -38 44 46.83940 , +   14.61 , -   15.21 ,    1.7 ,  7.30  
2605, 19 21  2.962567 ,  -31 12 21.22394 , +    5.61 , -    2.38 ,    2.2 ,  8.51  
2606, 19 22  3.883686 ,  +17 45 12.18291 , +    1.54 , -    8.86 ,    3.8 ,  7.07  
2607, 19 22 21.544855 ,  - 0 15  8.43454 , +   60.00 , -   26.57 ,    8.9 ,  5.81  
2608, 19 22 48.351140 ,  + 9 54 47.34041 , +    8.56 , +  107.06 ,   27.9 ,  6.34  
2609, 19 23 23.786848 ,  +50 16 16.63678 , +    1.91 , +   15.80 ,    3.8 ,  6.51  
2610, 19 23 29.538878 ,  +54 43 52.58340 , -    8.99 , -   17.21 ,    2.3 ,  9.07  
2611, 19 24  7.579342 ,  +29 37 16.82442 , +   11.28 , +   11.89 ,    4.2 ,  4.99  
2612, 19 24 11.837532 ,  +79 46 55.04814 , -   23.39 , -    9.90 ,    6.4 ,  8.11  
2613, 19 24 55.993066 ,  -44 11 41.26193 , -   51.81 , -    6.61 ,    7.6 ,  6.88  
2614, 19 25 21.595299 ,  -13 53 49.64274 , +   55.27 , +   58.16 ,    4.5 ,  5.72  
2615, 19 26  3.388901 ,  -80 14 13.55851 , -   19.00 , -   28.40 ,    7.1 ,  9.01  
2616, 19 26 19.157232 ,  -21 46 36.09338 , +   37.50 , -    4.42 ,    5.8 ,  5.57  
2617, 19 26 26.498121 ,  +62 33 25.72864 , +   32.79 , +   38.67 ,    4.7 ,  6.38  
2618, 19 26 44.511243 ,  -25 35  2.19916 , -    4.99 , -   48.34 ,    8.3 ,  8.47  
2619, 19 27 33.908066 ,  +14 16 56.93176 , +    6.69 , -    4.23 ,    3.9 ,  6.31  
2620, 19 27 52.128577 ,  - 4 49  3.97927 , +    9.77 , -    0.81 ,    1.9 ,  7.38  
2621, 19 28 20.388296 ,  -35  8  1.59367 , -   21.20 , -  167.12 ,   12.3 ,  8.66  
2622, 19 28 38.364227 ,  +41 11 53.60039 , -    8.35 , -   17.55 ,    4.3 ,  8.84  
2623, 19 28 54.293387 ,  -84 43 12.53439 , +   68.12 , -   80.16 ,   13.0 ,  7.70  
2624, 19 31   .271376 ,  +70 59 21.62914 , -   10.71 , +   34.00 ,    5.2 ,  6.06  
2625, 19 31 10.970515 ,  -68 26  2.11836 , +   17.36 , -   14.27 ,    3.1 ,  5.98  
2626, 19 31 11.972891 ,  +74 46  9.04276 , +    3.48 , -    8.80 ,    3.5 ,  8.42  
2627, 19 31 20.629989 ,  +64 17 13.01731 , -    2.41 , -   19.60 ,    1.9 ,  7.97  
2628, 19 31 25.407594 ,  -17 40 24.18440 , -   15.77 , -   18.76 ,    5.0 ,  8.83  
2629, 19 32 42.249079 ,  + 2  7 10.43563 , +   21.67 , -   10.88 ,    1.7 ,  8.74  
2630, 19 33 10.069929 ,  +60  9 31.28778 , +    4.20 , +    5.44 ,    2.7 ,  6.30  
2631, 19 33 21.621563 ,  -45 16 18.30503 , -   15.39 , -   25.64 ,    7.4 ,  5.59  
2632, 19 33 25.553064 ,  +21 50 25.17920 , -   20.95 , -  205.60 ,   49.6 ,  6.89  
2633, 19 33 42.207548 ,  -34 11 51.70965 , +    8.92 , -   23.44 ,    4.5 ,  6.94  
2634, 19 34 14.094604 ,  +25 21  9.09091 , -    1.79 , -   16.64 ,    1.1 ,  7.07  
2635, 19 34 39.860833 ,  +48  9 52.37721 , -   15.76 , -   78.84 ,   10.9 ,  6.79  
2636, 19 34 59.760912 ,  -81 45 10.60555 , +    6.33 , +    8.75 ,    6.1 ,  6.63  
2637, 19 35  7.257421 ,  -10 33 37.59711 , +    7.03 , -    2.96 ,    7.3 ,  5.12  
2638, 19 36  8.352234 ,  +22 35  8.74803 , +    3.78 , -    7.23 ,    5.7 ,  6.33  
2639, 19 37  3.341080 ,  -18 13 51.78132 , +   10.52 , -   13.05 ,    7.3 ,  5.66  
2640, 19 37 47.160297 ,  +12 56 19.46712 , -    0.48 , -    3.62 ,     .6 ,  8.06  
2641, 19 38 10.681498 ,  -63 54 55.70044 , -    3.00 , -    5.42 ,    1.5 ,  7.45  
2642, 19 38 25.953878 ,  -57 59   .02721 , +   30.61 , -   62.83 ,    6.7 ,  6.19  
2643, 19 38 48.990861 ,  + 3 22 53.47516 , +    0.04 , -    0.45 ,    1.9 ,  6.36  
2644, 19 39  6.059046 ,  -13 40 11.03271 , -    0.34 , -    9.43 ,    4.1 ,  7.85  
2645, 19 39 26.484518 ,  +42 49  5.80518 , +   22.72 , +   27.84 ,    4.7 ,  5.41  
2646, 19 39 56.531664 ,  +59 50 27.79436 , +   23.17 , +   20.46 ,    5.6 ,  7.75  
2647, 19 40 25.174437 ,  + 9  5 33.78674 , +    0.03 , -    2.54 ,    -.7 ,  8.67  
2648, 19 40 47.731073 ,  +87 55 20.30328 , +    4.30 , -   12.74 ,    2.7 ,  8.01  
2649, 19 40 50.183747 ,  +45 31 29.79516 , +   84.38 , +  120.83 ,   20.5 ,  5.06  
2650, 19 41 38.165126 ,  -55 15 58.15618 , +   31.62 , -    7.30 ,     .7 ,  7.36  
2651, 19 41 43.628680 ,  + 4 43 42.81068 , +    4.54 , +    9.93 ,    4.3 ,  8.97  
2652, 19 41 44.423112 ,  -77 34 28.81967 , -    0.97 , +    6.56 ,    3.6 ,  7.58  
2653, 19 42 23.521862 ,  -26 26 37.67635 , +    3.16 , +    3.55 ,    3.6 ,  8.45  
2654, 19 42 48.275119 ,  +17 58  5.75666 , -    1.73 , -    8.44 ,    1.6 ,  7.79  
2655, 19 42 50.513412 ,  -18 11 56.40169 , -   30.63 , -    0.41 ,    8.4 ,  8.85  
2656, 19 43 37.618751 ,  -37 32 19.55285 , +    2.29 , -   17.35 ,    3.8 ,  6.14  
2657, 19 43 42.860785 ,  -44  8  1.28070 , +   11.65 , +   12.16 ,    5.7 ,  7.28  
2658, 19 43 46.142052 ,  - 1 57 32.77771 , +   23.78 , +    2.64 ,    4.8 ,  8.33  
2659, 19 43 48.857734 ,  +52 36 39.08620 , +   19.79 , +   29.42 ,   10.6 ,  7.66  
2660, 19 44 15.853473 ,  + 7 35 17.60012 , +    0.93 , -    2.55 ,     .9 ,  8.14  
2661, 19 45 52.233067 ,  - 2 53   .43600 , -    0.99 , -    2.10 ,    2.9 ,  6.47  
2662, 19 46 28.794168 ,  + 2 51 30.92046 , -    6.11 , -   19.11 ,   -1.3 ,  8.57  
2663, 19 46 54.108020 ,  +72 27 52.66781 , +    2.30 , +   35.17 ,    4.7 ,  7.56  
2664, 19 47  7.422659 ,  -23 44  5.10243 , +   10.21 , -    5.75 ,    3.9 ,  8.54  
2665, 19 47 27.974727 ,  +28 29  8.75995 , -   12.78 , -   21.13 ,    2.5 ,  8.15  
2666, 19 48 55.087917 ,  -52 53 17.19029 , +   14.60 , -   47.84 ,    4.1 ,  6.27  
2667, 19 48 56.457471 ,  - 4 29 45.50234 , +    1.75 , +    0.66 ,     .3 ,  8.30  
2668, 19 49 11.610662 ,  -28 47 20.29607 , +  121.99 , -   98.08 ,   21.9 ,  6.04  
2669, 19 49 25.305880 ,  -72 30 12.16268 , +    6.71 , +   14.63 ,   24.0 ,  5.39  
2670, 19 49 30.935111 ,  +82 27 17.71104 , -   15.11 , +   26.11 ,    4.8 ,  7.80  
2671, 19 49 42.055608 ,  +33 16 36.72303 , +    2.68 , -    6.52 ,    2.5 ,  8.42  
2672, 19 49 42.130741 ,  -30 16 27.36086 , +    7.91 , -   33.58 ,    8.3 ,  8.29  
2673, 19 50 31.531138 ,  -52 14  5.77014 , +    9.16 , -    0.05 ,    3.2 ,  8.72  
2674, 19 50 37.723920 ,  +52 59 16.80363 , -   10.12 , -   68.12 ,   16.9 ,  5.03  
2675, 19 51  4.108346 ,  +22 36 36.16749 , +   23.28 , -   16.55 ,    5.2 ,  4.90  
2676, 19 51 17.729454 ,  -35 18 37.25979 , +    2.35 , -    2.25 ,    1.0 ,  8.24  
2677, 19 51 50.603693 ,  -39 52 27.72638 , +   17.81 , -   12.51 ,    9.6 ,  5.32  
2678, 19 51 59.069198 ,  +47  1 38.41985 , -    2.90 , -    4.04 ,     .4 ,  5.60  
2679, 19 53 38.486433 ,  +41 21 20.80901 , -    2.97 , -   12.49 ,    1.0 ,  6.99  
2680, 19 54 29.298255 ,  +47 54 49.68727 , +    2.37 , -   15.19 ,    2.9 ,  7.83  
2681, 19 55  7.570372 ,  +15 26 49.79147 , -    0.48 , +    1.28 ,    1.3 ,  8.16  
2682, 19 55 55.377964 ,  +58 50 45.48924 , -    9.17 , -   20.81 ,    3.5 ,  4.98  
2683, 19 57 19.780022 ,  +24  5 17.36458 , -  114.20 , -  124.81 ,   23.4 ,  7.19  
2684, 19 57 45.445819 ,  +16 47 20.98708 , +   11.85 , +   19.63 ,    8.0 ,  5.54  
2685, 19 58 26.268981 ,  -42 40 58.93658 , +   16.62 , -   33.97 ,    5.5 ,  7.91  
2686, 19 58 37.981427 ,  +30 59  1.19774 , +   33.26 , -    2.34 ,    5.9 ,  5.51  
2687, 19 58 41.290885 ,  -69  9 50.24331 , +   68.89 , -  100.37 ,   14.0 ,  5.74  
2688, 19 59 12.055491 ,  +11 18 20.03748 , +    8.00 , +    0.63 ,    1.5 ,  6.52  
2689, 19 59 22.647056 ,  + 1 22 39.69436 , +   22.29 , +   66.34 ,    4.2 ,  6.17  
2690, 19 59 36.628534 ,  +76 28 53.01428 , -   26.21 , -   59.34 ,    6.2 ,  6.20  
2691, 20  0 25.328049 ,  -49 21  3.40652 , -   77.31 , -    2.86 ,   10.8 ,  6.18  
2692, 20  0 48.324059 ,  -45  6 46.50073 , +    0.59 , +    6.43 ,    9.0 ,  5.80  
2693, 20  1  1.450086 ,  -58 23 15.51933 , +    4.92 , -   30.96 ,    3.1 ,  7.49  
2694, 20  1 15.895609 ,  + 5 38 53.69479 , -   32.29 , -   22.28 ,   12.4 ,  7.46  
2695, 20  1 23.846900 ,  -22 44 14.31045 , +    9.03 , -   12.12 ,   10.4 ,  6.01  
2696, 20  1 28.544816 ,  +64 49 15.50510 , +    9.53 , -   12.71 ,    5.7 ,  5.22  
2697, 20  1 43.430016 ,  +33  4   .94393 , -    4.77 , -    9.12 ,    1.8 ,  7.98  
2698, 20  1 44.745180 ,  -59 22 33.21286 , +   20.01 , -   26.50 ,    7.5 ,  4.95  
2699, 20  2 10.561540 ,  - 4 59 23.25065 , +   14.65 , -    4.05 ,    8.2 ,  6.70  
2700, 20  2 49.072355 ,  +67 52 24.82953 , +   16.24 , +   47.33 ,    8.0 ,  4.51  
2701, 20  3 33.457552 ,  -37 56 26.52143 , +   62.44 , -   86.14 ,    8.0 ,  4.77  
2702, 20  4 26.748909 ,  +73 54 34.03944 , +   12.30 , +   18.87 ,    6.4 ,  6.91  
2703, 20  4 58.039695 ,  -21 18 50.72171 , +   49.05 , -   35.97 ,    3.9 ,  7.11  
2704, 20  5  9.493363 ,  +19 59 27.85608 , +   30.20 , +   79.85 ,   20.1 ,  5.09  
2705, 20  5 12.009980 ,  -26 48 47.75342 , +   11.63 , -    8.66 ,    6.0 ,  7.24  
2706, 20  5 32.879283 ,  +61 59 43.51127 , +  124.07 , +   70.59 ,   18.7 ,  5.40  
2707, 20  5 33.633294 ,  + 3 30  9.94047 , +  137.02 , -  139.45 ,   23.2 ,  8.35  
2708, 20  6 13.845813 ,  +53  9 56.47483 , +  212.71 , +  255.08 ,   27.4 ,  5.81  
2709, 20  6 36.237289 ,  - 4 25  2.80133 , -    1.98 , -   17.73 ,    5.4 ,  7.12  
2710, 20  6 50.292196 ,  -12 26 23.50347 , -    5.56 , -    4.24 ,   12.1 ,  7.70  
2711, 20  6 53.407468 ,  +23 36 51.93188 , +   15.04 , +    0.59 ,    6.6 ,  5.08  
2712, 20  7 17.120551 ,  -39 21  9.50710 , -    9.01 , -    7.19 ,    1.4 ,  8.63  
2713, 20  7 41.441278 ,  +34 25 22.46014 , +    0.87 , -    6.03 ,     .5 ,  6.12  
2714, 20  8 38.279482 ,  +10 43 33.12075 , +    3.83 , -    1.78 ,    3.2 ,  6.34  
2715, 20 10  1.324713 ,  -63 39 31.47615 , +    6.50 , -    2.51 ,    2.6 ,  7.81  
2716, 20 10 56.911563 ,  +68 16 19.97592 , -    8.39 , -    3.27 ,    1.7 ,  6.84  
2717, 20 11 10.077770 ,  - 8 50 32.43861 , +    2.14 , -    1.96 ,    1.4 ,  6.39  
2718, 20 11 15.794201 ,  -43 39 44.25400 , +    8.05 , -    4.14 ,    4.8 ,  6.54  
2719, 20 11 28.700542 ,  -24 13 36.83100 , +   15.46 , -   27.10 ,    2.5 ,  8.36  
2720, 20 11 59.066217 ,  +59 41 29.61899 , +   42.59 , +   86.48 ,   16.2 ,  7.09  
2721, 20 13 45.101096 ,  -87 49 22.76109 , +   79.54 , -  121.32 ,   12.2 ,  8.44  
2722, 20 13 55.470415 ,  +39  9 32.45580 , +   38.99 , +   19.40 ,    6.9 ,  7.09  
2723, 20 14 26.906981 ,  -63 24 56.84220 , -   38.70 , +   30.68 ,   13.8 ,  6.09  
2724, 20 14 27.866735 ,  -18  5 38.11571 , +    7.41 , +   27.47 ,    7.4 ,  8.14  
