 FK6  ,        Name        ,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
3951,                    ,  7 31  4.465056 ,  +82 24 41.28143 , -    3.44 , -   41.83 ,    6.8 ,  4.92  
4675,                    ,  7 31 14.701551 ,  - 7 45 36.20796 , -    0.58 , +    0.73 ,     .6 ,  8.40  
2585,                    ,  7 31 48.397313 ,  +17  5  9.76206 , +   43.26 , -   75.77 ,   10.8 ,  5.45  
2581,                    ,  7 32  2.217040 ,  +61 45 28.01894 , -   15.93 , -  119.13 ,    6.6 ,  6.68  
2587, delta^1 CMi        ,  7 32  5.948522 ,  + 1 54 52.13104 , -    2.80 , -    0.59 ,    4.1 ,  5.24  
4676,                    ,  7 32 58.551870 ,  +66 56 16.17005 , -   24.59 , -   11.97 ,    1.7 ,  7.70  
4677,                    ,  7 33  5.205972 ,  +78 41 12.80687 , -   34.64 , -   97.78 ,   11.0 ,  7.41  
4679,                    ,  7 33 27.487308 ,  +11  0 42.16626 , -   14.41 , -   15.87 ,    2.1 ,  6.80  
4680,                    ,  7 33 50.530718 ,  -49 45  2.54635 , -    8.81 , +   27.89 ,    4.5 ,  8.48  
4681,                    ,  7 33 52.365912 ,  -28 34  3.74457 , -   27.45 , +   16.57 ,    7.4 ,  6.77  
2588,                    ,  7 34 13.156692 ,  -16 11 15.96845 , -   79.38 , +  132.19 ,   17.1 ,  6.72  
2596,                    ,  7 36  4.198254 ,  -77 38  2.79437 , +    3.42 , +   15.85 ,    2.8 ,  6.72  
2591,                    ,  7 36 43.918944 ,  -48 49 48.60443 , -    7.66 , +    0.74 ,    6.5 ,  5.69  
2589,                    ,  7 37 17.794749 ,  +40  1 31.37383 , -   14.17 , -   49.59 ,    5.1 ,  6.34  
4684,                    ,  7 37 44.796649 ,  -35 16 37.76303 , -   28.72 , +   19.42 ,    4.5 ,  6.59  
4685,                    ,  7 38  1.382622 ,  -43 38 29.16383 , -    4.89 , +   12.42 ,    1.5 ,  7.98  
4686,                    ,  7 38  4.750611 ,  +61 32   .09202 , +   26.09 , +   22.29 ,   17.0 ,  7.37  
4687,                    ,  7 38 20.730917 ,  +33 11 12.33588 , -    1.29 , -   21.50 ,    3.7 ,  6.84  
2592, $o Gem             ,  7 39  9.930938 ,  +34 35  3.66747 , -   35.93 , -  115.52 ,   20.6 ,  4.89  
2590,                    ,  7 39 12.459305 ,  +53 54  2.14612 , -    9.94 , -   80.12 ,    8.9 ,  6.66  
4688,                    ,  7 39 35.436640 ,  +84 11 50.57814 , -    5.04 , -    2.05 ,    1.7 ,  7.58  
4689,                    ,  7 39 37.849723 ,  -17 52 17.65762 , -    6.77 , -   14.26 ,    6.2 ,  7.60  
4690,                    ,  7 39 53.459446 ,  + 8 37  4.38919 , -    3.67 , +    4.86 ,    2.1 ,  8.84  
