ID,Name,Source
899,4612                    ,FK6
900,3950                    ,FK6
901,4613                    ,FK6
902,2518 28 Gem             ,FK6
903,4614                    ,FK6
904,4615                    ,FK6
905,4617                    ,FK6
906,2521                    ,FK6
907,4618                    ,FK6
908,2520 13 Lyn             ,FK6
909,4619                    ,FK6
910,2524                    ,FK6
911,4620                    ,FK6
912,4621                    ,FK6
913,2525                    ,FK6
914,2529                    ,FK6
915,4622                    ,FK6
916,2531                    ,FK6
917,4624                    ,FK6
918,2528                    ,FK6
919,2523 42 Cam             ,FK6
920,4625                    ,FK6
921,4626                    ,FK6
922,3949                    ,FK6
923,4627                    ,FK6
924,2532 15 CMa             ,FK6
925,2534                    ,FK6
926,4628                    ,FK6
927,4629                    ,FK6
928,2536 iota CMa           ,FK6
929,2545 theta Men          ,FK6
930,4630                    ,FK6
931,2537 16 Lyn             ,FK6
932,2538 62 Aur             ,FK6
933,4631                    ,FK6
934,4632                    ,FK6
935,2539                    ,FK6
936,2546                    ,FK6
937,2542                    ,FK6
938,4633                    ,FK6
939,4634                    ,FK6
940,2547 19 Mon             ,FK6
941,4635                    ,FK6
942,4636                    ,FK6
943,4637                    ,FK6
944,4638                    ,FK6
945,4640                    ,FK6
946,4641                    ,FK6
947,4642                    ,FK6
948,4643                    ,FK6
949,4644                    ,FK6
950,2548                    ,FK6
951,2549                    ,FK6
952,2551                    ,FK6
953,4645                    ,FK6
954,4646                    ,FK6
955,4648                    ,FK6
956,2554                    ,FK6
957,4649                    ,FK6
958,2553 47 Gem             ,FK6
959,2556                    ,FK6
960,4651                    ,FK6
961,2557                    ,FK6
962,2555                    ,FK6
963,2550                    ,FK6
964,2552                    ,FK6
965,4652                    ,FK6
966,2560                    ,FK6
967,2559                    ,FK6
968,2558 18 Lyn             ,FK6
969,4654                    ,FK6
970,2561                    ,FK6
971,2562                    ,FK6
972,4655                    ,FK6
973,4656                    ,FK6
974,2563                    ,FK6
975,4657                    ,FK6
976,4658                    ,FK6
977,2566                    ,FK6
978,2564                    ,FK6
979,4660                    ,FK6
980,2565                    ,FK6
981,4662                    ,FK6
982,4663                    ,FK6
983,2567                    ,FK6
984,2569                    ,FK6
985,2570                    ,FK6
986,4665                    ,FK6
987,4666                    ,FK6
988,2573                    ,FK6
989,2576                    ,FK6
990,4668                    ,FK6
991,2574                    ,FK6
992,2583 epsilon Men        ,FK6
993,2575                    ,FK6
994,2572 21 Lyn             ,FK6
995,4669                    ,FK6
996,4670                    ,FK6
997,2571                    ,FK6
998,4671                    ,FK6
999,2584                    ,FK6
1000,2578                    ,FK6
1001,2577                    ,FK6
1002,4673                    ,FK6
1003,4674                    ,FK6
1004,2586                    ,FK6
1005,2582                    ,FK6
1006,3951                    ,FK6
1007,4675                    ,FK6
1008,2585                    ,FK6
1009,2581                    ,FK6
1010,2587 delta^1 CMi        ,FK6
1011,4676                    ,FK6
1012,4677                    ,FK6
1013,4679                    ,FK6
1014,4680                    ,FK6
1015,4681                    ,FK6
1016,2588                    ,FK6
1017,2596                    ,FK6
1018,2591                    ,FK6
1019,2589                    ,FK6
1020,4684                    ,FK6
1021,4685                    ,FK6
1022,4686                    ,FK6
1023,4687                    ,FK6
1024,2592 $o Gem             ,FK6
1025,2590                    ,FK6
1026,4688                    ,FK6
1027,4689                    ,FK6
1028,4690                    ,FK6
1029,2593 23 Lyn             ,FK6
1030,2595                    ,FK6
1031,2594                    ,FK6
1032,4692                    ,FK6
1033,4694                    ,FK6
1034,2597                    ,FK6
1035,2600                    ,FK6
1036,4696                    ,FK6
1037,2603                    ,FK6
1038,2598                    ,FK6
1039,4697                    ,FK6
1040,4698                    ,FK6
1041,4699                    ,FK6
1042,2605                    ,FK6
1043,4700                    ,FK6
1044,4701                    ,FK6
1045,2602 51 Cam             ,FK6
1046,4702                    ,FK6
1047,4703                    ,FK6
1048,3978                    ,FK6
1049,4704                    ,FK6
1050,2608                    ,FK6
1051,2610                    ,FK6
1052,2607 6 Pup              ,FK6
1053,4706                    ,FK6
1054,2609                    ,FK6
1055,4707                    ,FK6
1056,4708                    ,FK6
1057,4709                    ,FK6
1058,4710                    ,FK6
1059,4711                    ,FK6
1060,4712                    ,FK6
1061,2614 85 Gem             ,FK6
1062,2613                    ,FK6
1063,4713                    ,FK6
1064,4714                    ,FK6
1065,2615 11 Pup             ,FK6
1066,4716                    ,FK6
1067,2612                    ,FK6
1068,4717                    ,FK6
1069,4719                    ,FK6
1070,2624                    ,FK6
1071,2622                    ,FK6
1072,2620 28 Mon             ,FK6
1073,4721                    ,FK6
1074,4722                    ,FK6
1075,2621                    ,FK6
1076,4723                    ,FK6
1077,2623                    ,FK6
1078,4724                    ,FK6
1079,4725                    ,FK6
1080,2628                    ,FK6
1081,4727                    ,FK6
1082,2626                    ,FK6
1083,2625 8 Cnc              ,FK6
1084,2629                    ,FK6
1085,4728                    ,FK6
1086,4729                    ,FK6
1087,2630 mu^2 Cnc           ,FK6
1088,4730                    ,FK6
1089,4731                    ,FK6
1090,2642                    ,FK6
1091,2631                    ,FK6
1092,4732                    ,FK6
1093,4733                    ,FK6
1094,2632 16 Pup             ,FK6
1095,4735                    ,FK6
1096,2634                    ,FK6
1097,4736                    ,FK6
1098,4737                    ,FK6
1099,2635                    ,FK6
1100,4738                    ,FK6
